N;DELAY;BUF SIZE;KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
5;3;80378987;1;4.594;False;False;False;True
8;2;63153258;0;3.097;False;False;False;True
14;2;44211927;2;3.654;False;False;True;True
8;3;63173842;0;3.739;False;False;False;True
8;3;63167908;0;3.868;False;False;False;True
20;3;42119245;0;4.171;False;False;False;True
5;3;80369832;1;4.514;False;False;False;True
32;2;26792917;0;3.679;False;False;False;True
30;2;28531096;1;3.89;False;False;False;True
31;2;27645239;1;3.72;False;False;False;True
21;2;40199508;0;3.698;False;False;False;True
31;3;27632185;0;3.997;False;False;False;True
8;2;63149642;1;3.765;False;False;False;True
11;3;52019898;0;3.954;False;False;False;True
25;3;34032571;0;3.833;False;False;False;True
10;3;55270110;0;3.868;False;False;False;True
12;2;49135274;1;3.752;False;False;False;True
4;2;88407784;4;3.697;False;False;True;True
4;3;88422271;1;4.455;False;False;False;True
28;3;30482780;0;4.086;False;False;False;True
15;3;42097607;0;3.758;False;False;False;True
7;2;68027676;7;3.27;False;False;True;True
31;2;27625430;1;3.724;False;False;False;True
12;3;49123223;0;3.767;False;False;False;True
19;2;44205156;1;4.046;False;False;False;True
11;2;52030216;1;3.922;False;False;False;True
23;2;36847678;2;3.728;False;False;True;True
16;2;52026304;16;3.789;False;False;True;True
15;3;42124600;0;3.757;False;False;False;True
9;3;58955809;0;4.046;False;False;False;True
21;3;40200548;0;4.259;False;False;False;True
18;2;46541604;1;4.364;False;False;False;True
4;3;88428894;0;4.008;False;False;False;True
24;3;35382454;0;4.025;False;False;False;True
12;2;49134802;1;3.589;False;False;False;True
18;3;46549810;0;4.387;False;False;False;True
11;3;52025751;0;3.995;False;False;False;True
29;2;29467993;2;3.649;False;False;True;True
14;2;44228769;2;3.772;False;False;True;True
26;3;32766248;0;3.872;False;False;False;True
11;3;52002901;0;3.822;False;False;False;True
26;2;32765403;1;4.017;False;False;False;True
12;3;49140513;0;3.714;False;False;False;True
5;3;80385687;0;4.477;False;False;False;True
30;2;28548584;1;3.951;False;False;False;True
31;3;27650713;0;3.933;False;False;False;True
30;2;28545118;1;3.834;False;False;False;True
32;3;26798146;0;3.775;False;False;False;True
6;2;73687303;6;3.282;False;False;True;True
16;3;52006128;0;4.265;False;False;False;True
13;3;46530825;0;4.007;False;False;False;True
21;2;40210836;0;3.956;False;False;False;True
18;3;46528833;0;4.155;False;False;False;True
4;2;88418884;4;3.899;False;False;True;True
6;3;73669648;1;4.285;False;False;False;True
26;2;32764824;0;3.695;False;False;False;True
6;3;73667220;0;4.622;False;False;False;True
22;2;38442439;1;4.007;False;False;False;True
25;2;34005999;1;3.927;False;False;False;True
13;2;46552343;2;3.698;False;False;True;True
31;2;27625528;1;3.783;False;False;False;True
17;2;49119429;1;4.138;False;False;False;True
10;2;55276152;1;4.258;False;False;False;True
16;2;52011141;16;4.02;False;False;True;True
29;2;29490193;2;3.935;False;False;True;True
23;3;36838110;0;3.968;False;False;False;True
18;2;46527542;1;4.08;False;False;False;True
10;3;55258574;0;4.159;False;False;False;True
19;2;44223969;1;4.26;False;False;False;True
15;3;42096185;0;3.75;False;False;False;True
23;2;36836658;0;3.547;False;False;False;True
28;3;30500873;0;3.774;False;False;False;True
20;3;42118248;0;4.136;False;False;False;True
22;2;38449246;2;3.859;False;False;True;True
20;3;42109539;0;3.895;False;False;False;True
17;3;49115271;0;4.442;False;False;False;True
6;2;73668168;6;3.296;False;False;True;True
27;2;31582543;0;3.598;False;False;False;True
13;3;46532963;0;3.758;False;False;False;True
4;2;88408692;4;3.324;False;False;True;True
7;3;68018644;1;4.336;False;False;False;True
7;2;68017397;7;3.257;False;False;True;True
10;2;55261933;1;4.406;False;False;False;True
16;3;52031196;0;4.429;False;False;False;True
27;2;31577178;1;3.779;False;False;False;True
16;2;52029529;16;3.963;False;False;True;True
26;3;32768382;0;3.759;False;False;False;True
31;2;27645190;1;4.209;False;False;False;True
22;3;38465290;0;3.872;False;False;False;True
9;3;58939997;0;4.094;False;False;False;True
24;2;35362856;0;4.04;False;False;False;True
20;2;42121512;1;4.144;False;False;False;True
13;2;46558917;1;3.408;False;False;False;True
31;2;27645244;2;4.041;False;False;True;True
28;2;30506468;1;3.752;False;False;False;True
9;2;58942055;1;4.083;False;False;False;True
31;3;27643192;0;4.08;False;False;False;True
13;2;46541031;0;3.479;False;False;False;True
14;3;44211147;0;3.805;False;False;False;True
7;2;68008721;1;4.205;False;False;False;True
27;2;31593579;1;3.77;False;False;False;True
